section,field,value,link,notes
library,Title,Ideas worth thinking about.,,
library,Subhead,"Essays, AI prompts, decision briefs and business cases for better questions and better decisions.",,
directory,Title,In the Room,,
directory,Subhead,"Search by profession, education, location or sorority to discover members you may want to meet, learn from or simply get to know.",,
community,Title,Conversations with substance.,,
community,Guidelines URL,,,Set the approved public HTTPS guidelines URL to enable posting.
community,Subhead,"Keep what is shared here in the room. Be thoughtful, respectful, and generous with one another.",,
